Inline	Crossline	Time(ms)	Density(kg/m3)	Sonic(us/m)	Gamma_Ray(API)	Porosity(fraction)	P_Impedance(Kg/m2s)	P_Impedance_rel(Kg/m2s)	Vp(Meter/second)
442	1007	266.66021729	2114.5	1e30	30.1154995	0.3347	4336200	10858.20019531	1e30
442	1007	266.81982422	2114.51	1e30	29.05	0.3347	4336330	10973.5	1e30
442	1007	266.97946167	2114.6	1e30	29.05	0.3347	4336620	11039.20019531	1e30
442	1007	267.1390686	2114.6	1e30	29.03073883	0.3346	4336730	11105.01367188	1e30
442	1007	267.29870605	2114.6	1e30	28.73542404	0.3346	4336840	11170.71386719	1e30
442	1007	267.45831299	2114.6	1e30	28.35359955	0.3346	4336950	11236.40039063	1e30
442	1007	267.61791992	2114.6	1e30	25.44039917	0.3346	4337060	11302.20019531	1e30
442	1007	267.77752686	2114.7	1e30	24.85	0.3346	4337370	11349.40039063	1e30
442	1007	267.93719482	2114.70019531	1e30	24.85	0.3346	4337480	11315.29296875	1e30
442	1007	268.09680176	2114.7	1e30	24.85002136	0.3346	4337590	11281.09277344	1e30
442	1007	268.25640869	2114.7	1e30	24.95420074	0.3345	4337700	11247	1e30
442	1007	268.41601563	2114.7	1e30	25.4396	0.3345	4337810	11212.79980469	1e30
442	1007	268.57565308	2114.79003906	1e30	26.0126	0.3345	4338110	11178.59960938	1e30
442	1007	268.73526001	2114.8	1e30	26.60200882	0.3345	4338240	11144.47363281	1e30
442	1007	268.89486694	2114.8	1e30	26.65	0.3345	4338340	11017.37304688	1e30
442	1007	269.05450439	2114.8	1e30	26.65	0.3345	4338450	10884	1e30
442	1007	269.21408081	2114.88989258	1e30	23.77230072	0.3345	4338740	10750.70019531	1e30
442	1007	269.37371826	2114.9	1e30	22.83639908	0.3344	4338880	10617.40039063	1e30
442	1007	269.53335571	2114.9	1e30	22.24583054	0.3344	4338990	10484.07226563	1e30
442	1007	269.69299316	2114.9	1e30	21.90269089	0.3344	4339100	10350.76074219	1e30
442	1007	269.85256958	2114.9	1e30	21.85	0.3344	4339210	10158.79980469	1e30
442	1007	270.01220703	2114.97998047	1e30	22.08760071	0.3344	4339480	9940.4296875	1e30
442	1007	270.17181396	2115	1e30	22.15	0.3344	4339630	9722.08007813	1e30
442	1007	270.33145142	2115	1e30	22.83413506	0.3344	4339740	9503.6953125	1e30
442	1007	270.49105835	2115	1e30	23.49662971	0.3344	4339850	9285.34570313	1e30
442	1007	270.6506958	2115.07006836	1e30	23.65	0.3343	4340110	9067.00976563	1e30
442	1007	270.81030273	2115.1	1e30	23.65	0.3343	4340270	8822.34960938	1e30
442	1007	270.96990967	2115.1	1e30	23.65	0.3343	4340380	8544.55957031	1e30
442	1007	271.12954712	2115.1	1e30	23.24196053	0.3343	4340500	8266.72363281	1e30
442	1007	271.28918457	2115.1	1e30	23.05	0.3343	4340600	7988.93408203	1e30
442	1007	271.44876099	2115.15991211	1e30	23.05	0.3343	4340850	7711.14990234	1e30
442	1007	271.60836792	2115.2	1e30	23.42930031	0.3343	4341030	7433.35986328	1e30
442	1007	271.76800537	2115.2	1e30	23.65	0.3342	4341140	7150.47998047	1e30
442	1007	271.9276123	2115.2	1e30	23.64992905	0.3342	4341250	6846.55859375	1e30
442	1007	272.08724976	2115.26	1e30	23.29937935	0.3342	4341480	6542.69775391	1e30
442	1007	272.24685669	2115.3	1e30	22.7092	0.3342	4341670	6238.83007813	1e30
442	1007	272.40649414	2115.3	1e30	22.45	0.3342	4341780	5934.97021484	1e30
442	1007	272.56607056	2115.3	1e30	22.45	0.3342	4341890	5631.1	1e30
442	1007	272.72573853	2115.29980469	1e30	22.76215744	0.3342	4342000	5327.18017578	1e30
442	1007	272.88534546	2115.35009766	1e30	23.05	0.3341	4342210	5032.85058594	1e30
442	1007	273.04495239	2115.4	1e30	23.05	0.3341	4342430	4739.04980469	1e30
442	1007	273.20455933	2115.4	1e30	23.13990021	0.3341	4342540	4445.25	1e30
442	1007	273.36419678	2115.4	1e30	23.2404995	0.3341	4342640	4151.45019531	1e30
442	1007	273.52383423	2115.44018555	1e30	23.12106895	0.3341	4342840	3857.59033203	1e30
442	1007	273.68344116	2115.5	1e30	22.96918297	0.3341	4343070	3563.79663086	1e30
442	1007	273.8430481	2115.5	1e30	22.87969971	0.3341	4343180	3300.54003906	1e30
442	1007	274.00268555	2115.5	1e30	22.75	0.3341	4343290	3050.34008789	1e30
442	1007	274.16226196	2115.5	1e30	22.75	0.3341	4343400	2800.14990234	1e30
442	1007	274.32189941	2115.5402832	1e30	22.75	0.334	4343580	2549.89916992	1e30
442	1007	274.48153687	2115.6	1e30	22.75012016	0.334	4343820	2299.69897461	1e30
442	1007	274.64111328	2115.6	1e30	23.34070015	0.334	4343930	2049.5	1e30
442	1007	274.80075073	2115.6	1e30	24.64360046	0.334	4344040	1830.68994141	1e30
442	1007	274.96035767	2115.62988281	1e30	25.47170067	0.334	4344210	1649.77001953	1e30
442	1007	275.12002563	2115.70019531	1e30	26.95	0.334	4344470	1468.80310059	1e30
442	1007	275.27960205	2115.7	1e30	26.95	0.334	4344580	1287.88317871	1e30
442	1007	275.4392395	2115.7	1e30	26.95	0.3339	4344680	1106.95996094	1e30
442	1007	275.59884644	2115.7	1e30	25.69639969	0.3339	4344790	926.04101563	1e30
442	1007	275.75845337	2115.7199707	1e30	21.55	0.3339	4344950	762.22900391	1e30
442	1007	275.91809082	2115.8	1e30	21.55003357	0.3339	4345220	664.46911621	1e30
442	1007	276.07772827	2115.8	1e30	21.71584892	0.3339	4345330	566.73010254	1e30
442	1007	276.23730469	2115.8	1e30	22.45	0.3339	4345440	468.99	1e30
442	1007	276.39694214	2115.8	1e30	22.45	0.3339	4345550	371.25	1e30
442	1007	276.55654907	2115.81005859	1e30	22.40920067	0.3338	4345690	273.51	1e30
442	1007	276.71621704	2115.9	1e30	22.11384583	0.3338	4345980	175.76631165	1e30
442	1007	276.87579346	2115.9	1e30	21.85	0.3338	4346080	157.61300659	1e30
442	1007	277.03540039	2115.9	1e30	21.8764	0.3338	4346190	142.92300415	1e30
442	1007	277.19503784	2115.90991211	1e30	22.15	0.3338	4346320	128.23300171	1e30
442	1007	277.35461426	2116	1e30	22.21710014	0.3338	4346620	113.543	1e30
442	1007	277.51428223	2116	1e30	23.39834595	0.3338	4346730	98.85011292	1e30
442	1007	277.67388916	2116	1e30	24.60857773	0.3337	4346840	84.17006683	1e30
442	1007	277.83349609	2116	1e30	26.95	0.3337	4346950	118.40499878	1e30
442	1007	277.99310303	2116	1e30	26.95	0.3337	4347060	172.55099487	1e30
442	1007	278.15274048	2116.1	1e30	26.95	0.3337	4347380	226.69700623	1e30
442	1007	278.31237793	2116.1	1e30	26.95	0.3337	4347490	280.85302734	1e30
442	1007	278.47198486	2116.1	1e30	26.94994926	0.3337	4347600	335	1e30
442	1007	278.6315918	2116.1	1e30	26.70369911	0.3337	4347700	389.14498901	1e30
442	1007	278.79122925	2116.18994141	1e30	25.5478	0.3337	4348000	463.0710144	1e30
