Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	567.23986816	2082.71044922	158375.234375	4433229.5	0.32661024	54.07068634	480.83242798	2127.40820313
442	1007	567.3994751	2081.05541992	155150.140625	4428403.5	0.3270044	53.84972382	481.21786499	2126.77709961
442	1007	567.55914307	2079.39550781	151879.21875	4423565.5	0.3273989	53.62645721	481.60458374	2126.14526367
442	1007	567.71875	2077.72875977	148560.53125	4418710	0.32779428	53.40061188	481.99298096	2125.51245117
442	1007	567.87835693	2076.05786133	145202.953125	4413847	0.32818958	53.17266846	482.38232422	2124.87939453
442	1007	568.0380249	2074.3828125	141805.859375	4408973.5	0.32858515	52.94248962	482.77279663	2124.24584961
442	1007	568.19769287	2072.70361328	138372.640625	4404092	0.32898068	52.71020126	483.16424561	2123.61254883
442	1007	568.3572998	2071.02368164	134910.96875	4399211.5	0.32937554	52.47623825	483.55609131	2122.98046875
442	1007	568.51690674	2069.34057617	131418.640625	4394325.5	0.32977006	52.24036407	483.94863892	2122.34838867
442	1007	568.67651367	2067.65869141	127904.7578125	4389445	0.33016345	52.00310135	484.34106445	2121.71875
442	1007	568.83618164	2065.97583008	124368.453125	4384566.5	0.33055592	51.76430511	484.73373413	2121.09033203
442	1007	568.99584961	2064.29345703	120813.0859375	4379692.5	0.33094728	51.52410126	485.12643433	2120.46362305
442	1007	569.15545654	2062.61401367	117246.3828125	4374831.5	0.33133686	51.28291702	485.51849365	2119.83959961
442	1007	569.31506348	2060.93603516	113665.859375	4369977.5	0.331725	51.0404892	485.91033936	2119.21801758
442	1007	569.47467041	2059.26245117	110080.640625	4365141	0.33211097	50.79732895	486.3012085	2118.6
442	1007	569.63439941	2057.59228516	106489.625	4360318	0.332495	50.55326462	486.69137573	2117.98510742
442	1007	569.79400635	2055.92626953	102896.03125	4355510.5	0.33287692	50.30840683	487.08074951	2117.3737793
442	1007	569.95361328	2054.26635742	99307.4375	4350726	0.3332561	50.06316376	487.46859741	2116.76611328
442	1007	570.11322021	2052.61108398	95721.1328125	4345958	0.33363298	49.81723404	487.85552979	2116.16259766
442	1007	570.27288818	2050.96362305	92146.0390625	4341217	0.33400691	49.57114792	488.24072266	2115.5637207
442	1007	570.43255615	2049.32202148	88580.8046875	4336498	0.33437803	49.32471085	488.62454224	2114.96948242
442	1007	570.59216309	2047.68737793	85028.4375	4331803	0.3347463	49.07805634	489.00680542	2114.37988281
442	1007	570.75177002	2046.06213379	81496.15625	4327139.5	0.33511105	48.831604	489.38696289	2113.79541016
442	1007	570.91137695	2044.44470215	77981.0859375	4322502.5	0.33547264	48.58507156	489.76535034	2113.21630859
